Car_Make,Car_Model,Year,Body_Type,Color_Options,Fuel_Type,Engine_Size_L,Horsepower,Torque_Nm,Transmission_Type,Top_Speed_mph,Mileage_MPG,Safety_Features,Entertainment_Features,Interior_Features,Exterior_Features,Price,Customer_Ratings,Sales_Figures_Units_Sold,Revenue,0-60_Time
Volvo,XC60,2023,SUV,Silver; White; Gray,Gasoline,2,250,350,Automatic,140,24,ABS; Airbags; Lane Departure Warning; Blind Spot Monitoring,9-inch Touchscreen Display,Leather Seats; Heated Front Seats; Panoramic Sunroof,LED Headlights; Roof Rails;19-inch Alloy Wheels,45450,4.900000095,1000,45450000,6.4
Audi,Q5,2023,SUV,Black; White; Gray,Gasoline,2,261,273,Automatic,130,28,ABS; Airbags; Audi Pre Sense Basic; Audi Pre Sense City,10.1-inch MMI Touch Display,Leather Seats; Keyless Entry; Panoramic Sunroof,LED Headlights;18-inch Alloy Wheels,45600,4.699999809,2100,95760000,5.9
Ford,F-150,2023,Truck,Blue; Red; Gray,Gasoline,3.5,375,475,Automatic,145,23,ABS; Airbags; Trailer Sway Control; Rear View Camera,12-inch SYNC4 Infotainment System,Cloth Seats; Power Windows; Keyless Entry,LED Taillights; Tow Hitch; Bed Liner,45900,4.800000191,2200,100980000,6.1
Lexus,RX,2023,SUV,White; Silver; Black,Gasoline,3.5,295,267,Automatic,120,24,ABS; Airbags; Lexus Safety System+2.5; Rear Cross-Traffic Alert,8-inch Touchscreen Display,Leather Seats; Power Front Seats; Keyless Entry,LED Headlights; Roof Rails;18-inch Alloy Wheels,46800,4.800000191,1200,56160000,7.7
Acura,MDX,2023,SUV,Black; White; Gray,Gasoline,3.5,290,267,Automatic,130,27,ABS; Airbags; AcuraWatch; Multi-View Rear Camera,12.3-inch True Touchpad Interface,Leather Seats; Keyless Entry; Panoramic Moonroof,LED Headlights;20-inch Alloy Wheels,46900,4.699999809,2100,98490000,6.2
Genesis,GV80,2023,SUV,Gray; White; Black,Gasoline,2.5,300,311,Automatic,120,25,ABS; Airbags; Forward Collision Avoidance-Assist with Pedestrian Detection,14.5-inch Infotainment System,Leather Seats; Power Front Seats; Keyless Entry,LED Headlights; Roof Rails;20-inch Alloy Wheels,47700,4.800000191,900,42930000,6.9
Lexus,RX,2023,SUV,White; Black; Gray,Gasoline,3.5,290,263,Automatic,130,29,ABS; Airbags; Lexus Safety System+3.0; Rear View Camera,8-inch Lexus Multimedia System,Leather Seats; Keyless Entry; Power Liftgate,LED Headlights;18-inch Alloy Wheels,48500,4.800000191,1800,87300000,6.8
Tesla,Model3,2023,Sedan,Blue; Red; Silver,Electric,,283,440,Automatic,140,125,Enhanced Autopilot; Lane Departure Warning; Autopark,15.4-inch Infotainment Display,Vegan Leather Seats; Heated Steering Wheel; Premium Audio,Panoramic Glass Roof; Power Trunk; Alloy Wheels,49990,4.900000095,4500,224955000,5.2
GMC,Sierra,2023,Truck,Red; Black; White,Gasoline,6.199999809,420,624,Automatic,140,17,ABS; Airbags; Trailer Brake Control; Rear View Camera,12.3-inch Infotainment System,Leather Seats; Heated Front Seats; Power Tailgate,LED Taillights; Tow Hitch;20-inch Alloy Wheels,51250,4.699999809,1000,51250000,5.7
GMC,Yukon,2023,SUV,Black; White; Gray,Gasoline,5.300000191,355,519,Automatic,120,20,ABS; Airbags; Lane Keep Assist; Blind Zone Alert,10.2-inch Infotainment Display,Leather Seats; Heated Front Seats; Power Tailgate,LED Headlights; Roof Rails;20-inch Alloy Wheels,51850,4.699999809,1200,62220000,7
Chevrolet,Tahoe,2023,SUV,Red; White; Gray,Gasoline,5.300000191,355,519,Automatic,130,19,ABS; Airbags; Forward Collision Warning; Lane Keep Assist,10.2-inch Infotainment System,Leather Seats; Heated Front Seats; Third-Row Seating,LED Headlights; Roof Rails; Power Liftgate,53250,4.699999809,1000,53250000,7.1
BMW,5 Series,2023,Sedan,White; Black; Gray,Gasoline,2,248,258,Automatic,130,31,ABS; Airbags; Active Driving Assistant; Rear View Camera,12.3-inch Central Display,Leather Seats; Keyless Entry; Sunroof,LED Headlights;18-inch Alloy Wheels,54200,4.800000191,2200,119240000,5.9
Ford,Expedition,2023,SUV,Blue; White; Silver,Gasoline,3.5,400,650,Automatic,120,22,ABS; Airbags; Blind Spot Information System; Rear Cross Traffic Alert,12.3-inch SYNC4 Infotainment System,Leather Seats; Heated Front Seats; Power Fold Third-Row Seats,LED Headlights; Roof Rails;22-inch Alloy Wheels,54500,4.800000191,800,43600000,5.7
BMW,5 Series,2023,Sedan,Black; Gray; White,Gasoline,2,248,350,Automatic,130,27,ABS; Airbags; Active Driving Assistant; Parking Assistant Plus,12.3-inch Digital Instrument Cluster,Leather Seats; Heated Front Seats; Power Tailgate,LED Headlights; Alloy Wheels; Power Sunroof,54700,4.800000191,800,43760000,6
Audi,Q7,2023,SUV,Black; Gray; White,Gasoline,3,335,500,Automatic,130,21,ABS; Airbags; Audi Pre Sense Front; Audi Side Assist,10.1-inch MMI Touchscreen Display,Leather Seats; Heated Front Seats; Power Tailgate,LED Headlights; Roof Rails;20-inch Alloy Wheels,54800,4.800000191,1100,60280000,5.7
Mazda,CX-5,2023,SUV,Blue; White; Gray,Gasoline,2.5,187,186,Automatic,130,31,ABS; Airbags; Mazda Connected Services,,,,55000,3.400000095,2340,128700000,7.6
BMW,X5,2023,SUV,White; Gray; Black,Gasoline,3,389,330,Automatic,155,23,ABS; Airbags; Dynamic Stability Control; Rear View Camera,12.3-inch Central Display,Leather Seats; Keyless Entry; Panoramic Moonroof,LED Headlights;20-inch Alloy Wheels,62695,4.800000191,1800,112851000,4.6
BMW,X5,2022,SUV,Black; Gray; Blue,Gasoline,3,335,450,Automatic,155,24,ABS; Airbags; Lane Departure Warning; Parking Assist,12.3-inch Digital Instrument Cluster,Leather Seats; Heated Front Seats; Panoramic Sunroof,LED Headlights; Roof Rails;20-inch Alloy Wheels,62700,4.699999809,1300,81510000,5.3
Chevrolet,Camaro,2023,Coupe,Red; Black; Yellow,Gasoline,6.199999809,650,881,Automatic,190,17,ABS; Airbags; Traction Control; StabiliTrak,9-inch Infotainment System,Leather Seats; Heated and Ventilated Front Seats,LED Headlights; Rear Spoiler;20-inch Alloy Wheels,65590,4.900000095,1000,65590000,3.5
Chevrolet,Corvette,2023,Coupe,Red; Black; White,Gasoline,6.199999809,490,630,Automatic,190,20,ABS; Airbags; Performance Traction Management; Rear View Camera,10.2-inch Infotainment System,Leather Seats; Power Driver's Seat; Bose Premium Audio,LED Headlights; Rear Spoiler;19-inch Alloy Wheels,67590,4.900000095,1300,87867000,3
Chevrolet,Corvette,2023,Convertible,Red; Black; White,Gasoline,6.199999809,490,470,Automatic,190,21,ABS; Airbags; Performance Traction Management; Rear View Camera,10.2-inch Infotainment System,Leather Seats; Power Driver's Seat; Bose Premium Audio,LED Headlights; Rear Spoiler;19-inch Alloy Wheels,75590,4.900000095,1000,75590000,3.1
Mercedes,S-Class,2023,Sedan,Black; Silver; White,Gasoline,3,429,520,Automatic,155,23,ABS; Airbags; Active Distance Assist; Traffic Sign Assist,12.8-inch OLED Infotainment Screen,Leather Seats; Heated and Ventilated Front Seats; Power Rear Window,LED Headlights; Panoramic Sunroof;20-inch Alloy Wheels,99950,4.900000095,400,39980000,4.7
